Year,ANS,CA Onshore,UK,Wyoming,Brazil,CA Offshore,Alberta (pools),Colville River,Kupuruk River,Milne Point,Prudhoe Bay,Northstar,Endicott,Oooguruk,Marlim,Huntington Beach,Inglewood,La Ciengas,Long Beach,Montalvo West,San Miguelito,Sante Fe Springs,Seal Beach,Shafter North,Tejon,Wilmington,PROVOST,WIMBORNE,HAYTER,BANTRY,BELLSHILL LAKE,JUDY CREEK,LEDUC-WOODBEND,STURGEON LAKE SOUTH,VIRGINIA HILLS,CARSON CREEK NORTH,FENN-BIG VALLEY,JUDY CREEK,NIPISI,SWAN HILLS SOUTH,REDWATER
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.080,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.910,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.510,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,1.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,0.650,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,1.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,13.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,9.620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,12.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16.620,,,,,,,,,,,,16.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.580,2.050,,,,,,,,4.58,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,
26,,,7.996,,,3.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,5.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4.050,,3.830,,,1.960,,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.083,,,5.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,34.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,2.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,5.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,19.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,29.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,8.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3.560,,,,,16.250,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,4.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.22,,,,,,,,,,,,
44,,,,,,6.580,203.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49,,
47,,,,,,,41.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,16.600,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,15.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,
53,,,,,,,48.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.134,,,,,
54,,,,,,,49.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.424,,,,,,
55,,,,,,,44.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,8.900,,,,,,,,,,,,,,,,,,,,,,,,,99.667,,,,,,,,,,
57,,,,,,,99.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.952,,,,,,,
59,,,,,,,48.91,,,,,,,,,,,,,,,,,,,,,57.608,,,,,,,,,,,,,
60,,,,,,,57.61,,,,,,,,,,,,,,,,,,,,,,,,,48.913,,,,,,46.7,,,
61,,,,,,,47.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.701,,,,
62,,,,,,,50.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,1.990,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,198.114
64,,,,,,,198.11,,,,,,,,,,,,,,,,,,,,,,,,,,51.587,,,,,,,,
65,,,,,,,51.59,,,,,,,,,,,,,,,,,,,,103.321,,,,,,,,,,,,,,
66,,25.900,,,,,103.32,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.753,,,,,,,,,,,
72,,,,,,,57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,36.100,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,9.390,,,,,,,,,,,,,,,,,,,9.39,,,,,,,,,,,,,,,,,,,,
80,,,,65.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,16.600,,110.000,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,45.000,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,53.600,,,,,,,,,,,,,,,,29,,,,53.6,,,,,,,,,,,,,,,,,,,
90,,25.200,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,