,MEA,MEA,MEA,MEA,conv DEA,conv DEA,conv DEA,conv DEA,high DEA,high DEA,high DEA,high DEA,DGA,DGA,DGA,DGA,MDEA,MDEA,MDEA,MDEA
,Reboiler,Pump,Condenser,Cooler,Reboiler,Pump,Condenser,Cooler,Reboiler,Pump,Condenser,Cooler,Reboiler,Pump,Condenser,Cooler,Reboiler,Pump,Condenser,Cooler
intercept,123.1400000000000000000000000000,0.0149580000000000000000000000,345.9000000000000000000000000000,189.2400000000000000000000000000,-488.4200000000000000000000000000,-0.0089267000000000000000000000,129.6100000000000000000000000000,-580.3900000000000000000000000000,-411.8900000000000000000000000000,-0.0024565000000000000000000000,13.8590000000000000000000000000,-336.3900000000000000000000000000,-4295.6000000000000000000000000000,223.5000000000000000000000000000,541.6200000000000000000000000000,-4172.9000000000000000000000000000,-1630.2000000000000000000000000000,-0.0571830000000000000000000000,-94.3300000000000000000000000000,-1487.5000000000000000000000000000
x1,11457.0000000000000000000000000000,49.9370000000000000000000000000,855.1100000000000000000000000000,9523.6000000000000000000000000000,7678.1000000000000000000000000000,34.6170000000000000000000000000,41.8990000000000000000000000000,7784.8000000000000000000000000000,7455.7000000000000000000000000000,34.6290000000000000000000000000,296.8600000000000000000000000000,7266.6000000000000000000000000000,5289.5000000000000000000000000000,269.9600000000000000000000000000,-103.0400000000000000000000000000,6837.4000000000000000000000000000,7517.9000000000000000000000000000,31.1040000000000000000000000000,-131.8900000000000000000000000000,7864.4000000000000000000000000000
x2,10152.0000000000000000000000000000,51.1120000000000000000000000000,-29.2100000000000000000000000000,8758.8000000000000000000000000000,6492.7000000000000000000000000000,35.3910000000000000000000000000,8.7606000000000000000000000000,6627.0000000000000000000000000000,6700.1000000000000000000000000000,35.4180000000000000000000000000,-44.9590000000000000000000000000,6759.0000000000000000000000000000,8989.6000000000000000000000000000,-65.1360000000000000000000000000,477.6100000000000000000000000000,8854.9000000000000000000000000000,7751.3000000000000000000000000000,31.8550000000000000000000000000,315.7500000000000000000000000000,7394.0000000000000000000000000000
x3,-260.8200000000000000000000000000,-0.0043754000000000000000000000,-172.5500000000000000000000000000,-104.1100000000000000000000000000,9.2013000000000000000000000000,0.0001665200000000000000000000,2.5870000000000000000000000000,3.8340000000000000000000000000,-9.9937000000000000000000000000,0.0001570200000000000000000000,-10.2750000000000000000000000000,-8.5131000000000000000000000000,20.0570000000000000000000000000,1.2206000000000000000000000000,55.7600000000000000000000000000,-30.5270000000000000000000000000,10.4360000000000000000000000000,0.0005175000000000000000000000,11.8200000000000000000000000000,1.5500000000000000000000000000
x4,1.0709000000000000000000000000,-0.0001083700000000000000000000,-1.6662000000000000000000000000,-0.9879100000000000000000000000,4.7608000000000000000000000000,0.0000794070000000000000000000,-1.2560000000000000000000000000,5.6564000000000000000000000000,4.0772000000000000000000000000,0.0000153400000000000000000000,-0.0190610000000000000000000000,3.3405000000000000000000000000,41.5970000000000000000000000000,-2.1562000000000000000000000000,-5.9791000000000000000000000000,40.9300000000000000000000000000,15.3500000000000000000000000000,0.0005260500000000000000000000,0.3481300000000000000000000000,14.3860000000000000000000000000
x5,0.3422500000000000000000000000,0.0000053444000000000000000000,0.0834740000000000000000000000,0.1209500000000000000000000000,0.0226810000000000000000000000,0.0000001792500000000000000000,-0.0023414000000000000000000000,-0.0273840000000000000000000000,-0.0046918000000000000000000000,0.0000005289000000000000000000,-0.0246100000000000000000000000,-0.0157390000000000000000000000,-0.0302990000000000000000000000,-0.0158180000000000000000000000,-0.0291400000000000000000000000,-0.0325820000000000000000000000,0.0080107000000000000000000000,-0.0000031354000000000000000000,-0.0151250000000000000000000000,-0.0166640000000000000000000000
x1*x2,108.9500000000000000000000000000,-0.0480590000000000000000000000,205.0300000000000000000000000000,300.4000000000000000000000000000,201.4800000000000000000000000000,0.0460760000000000000000000000,53.2010000000000000000000000000,-89.5960000000000000000000000000,-99.1020000000000000000000000000,0.0525350000000000000000000000,-3.8744000000000000000000000000,-243.5600000000000000000000000000,-224.5400000000000000000000000000,-72.2720000000000000000000000000,-137.8000000000000000000000000000,-394.0800000000000000000000000000,691.4500000000000000000000000000,-0.0410780000000000000000000000,641.8400000000000000000000000000,35.1150000000000000000000000000
x1*x3,2137.9000000000000000000000000000,0.0021808000000000000000000000,2150.0000000000000000000000000000,15.5960000000000000000000000000,729.4800000000000000000000000000,-0.0034398000000000000000000000,723.6000000000000000000000000000,3.2264000000000000000000000000,724.3600000000000000000000000000,-0.0027942000000000000000000000,711.4600000000000000000000000000,14.8590000000000000000000000000,769.4100000000000000000000000000,0.5004300000000000000000000000,703.5100000000000000000000000000,62.1230000000000000000000000000,690.2100000000000000000000000000,0.0002524800000000000000000000,679.7700000000000000000000000000,-2.5799000000000000000000000000
x1*x4,-35.6150000000000000000000000000,-0.0013455000000000000000000000,-4.3392000000000000000000000000,-33.7540000000000000000000000000,-24.7910000000000000000000000000,-0.0006439500000000000000000000,-0.1397100000000000000000000000,-24.9430000000000000000000000000,-23.1110000000000000000000000000,-0.0005844900000000000000000000,-1.1498000000000000000000000000,-22.1860000000000000000000000000,-15.1420000000000000000000000000,-1.1213000000000000000000000000,0.5957600000000000000000000000,-21.8930000000000000000000000000,-33.9060000000000000000000000000,-0.0017420000000000000000000000,-0.0299630000000000000000000000,-34.5530000000000000000000000000
x1*x5,-0.1234900000000000000000000000,-0.0000002017900000000000000000,-0.0912630000000000000000000000,0.0156830000000000000000000000,-0.0474600000000000000000000000,-0.0000002015800000000000000000,-0.0028189000000000000000000000,-0.0628610000000000000000000000,0.0536100000000000000000000000,-0.0000003828000000000000000000,0.0519430000000000000000000000,-0.0333290000000000000000000000,0.0229920000000000000000000000,-0.0036154000000000000000000000,0.0657180000000000000000000000,-0.1059300000000000000000000000,0.0690610000000000000000000000,-0.0000001799400000000000000000,0.1024500000000000000000000000,-0.0375000000000000000000000000
x2*x3,2028.6000000000000000000000000000,0.0015220000000000000000000000,1986.2000000000000000000000000000,15.6440000000000000000000000000,729.9100000000000000000000000000,-0.0038483000000000000000000000,724.7600000000000000000000000000,5.9763000000000000000000000000,708.8800000000000000000000000000,-0.0038267000000000000000000000,711.6500000000000000000000000000,-1.1726000000000000000000000000,641.6700000000000000000000000000,-0.2749700000000000000000000000,682.3800000000000000000000000000,-28.2730000000000000000000000000,755.7300000000000000000000000000,0.0002964500000000000000000000,752.1500000000000000000000000000,1.6347000000000000000000000000
x2*x4,-31.0820000000000000000000000000,-0.0012084000000000000000000000,0.8979900000000000000000000000,-32.6560000000000000000000000000,-20.2870000000000000000000000000,-0.0005078600000000000000000000,0.0303810000000000000000000000,-20.6790000000000000000000000000,-21.0660000000000000000000000000,-0.0005440900000000000000000000,0.4183000000000000000000000000,-21.3230000000000000000000000000,-33.6990000000000000000000000000,0.4584800000000000000000000000,-1.5037000000000000000000000000,-33.3140000000000000000000000000,-30.5690000000000000000000000000,-0.0016343000000000000000000000,-0.0186040000000000000000000000,-30.2590000000000000000000000000
x2*x5,0.3300700000000000000000000000,0.0000014435000000000000000000,0.3051200000000000000000000000,-0.0036466000000000000000000000,-0.0146390000000000000000000000,-0.0000000213980000000000000000,-0.0016751000000000000000000000,-0.0489310000000000000000000000,0.0371930000000000000000000000,-0.0000011900000000000000000000,0.0340900000000000000000000000,-0.0297890000000000000000000000,-0.0508850000000000000000000000,0.0021572000000000000000000000,0.0039816000000000000000000000,-0.0694050000000000000000000000,-0.0798540000000000000000000000,-0.0000033497000000000000000000,-0.0569380000000000000000000000,-0.0727510000000000000000000000
x3*x4,1.3364000000000000000000000000,0.0000225700000000000000000000,0.9506000000000000000000000000,0.5042200000000000000000000000,-0.0445860000000000000000000000,-0.0000024160000000000000000000,-0.0090978000000000000000000000,-0.0172480000000000000000000000,0.1173200000000000000000000000,-0.0000024262000000000000000000,0.1017700000000000000000000000,0.0610430000000000000000000000,0.0608840000000000000000000000,-0.0018041000000000000000000000,-0.2078700000000000000000000000,0.2200500000000000000000000000,0.0092207000000000000000000000,0.0000010188000000000000000000,-0.0106920000000000000000000000,0.0443630000000000000000000000
x3*x5,0.0322940000000000000000000000,-0.0000002176800000000000000000,0.0345170000000000000000000000,-0.0054342000000000000000000000,0.0074492000000000000000000000,-0.0000002892000000000000000000,0.0030884000000000000000000000,0.0007128200000000000000000000,0.0063032000000000000000000000,-0.0000001375600000000000000000,0.0065037000000000000000000000,0.0002205400000000000000000000,0.0012050000000000000000000000,-0.0002177100000000000000000000,0.0018698000000000000000000000,0.0020085000000000000000000000,0.0020747000000000000000000000,0.0000000410770000000000000000,0.0018128000000000000000000000,0.0008475900000000000000000000
x4*x5,-0.0020910000000000000000000000,-0.0000000281160000000000000000,-0.0008844500000000000000000000,-0.0006479900000000000000000000,-0.0001427400000000000000000000,-0.0000000000323000000000000000,-0.0000100440000000000000000000,0.0000632560000000000000000000,-0.0000923530000000000000000000,-0.0000000045640000000000000000,0.0000168710000000000000000000,-0.0000415190000000000000000000,0.0000652110000000000000000000,0.0000740010000000000000000000,0.0000533180000000000000000000,0.0000201960000000000000000000,-0.0000675260000000000000000000,0.0000000086272000000000000000,0.0000504170000000000000000000,-0.0000513830000000000000000000
x1**2,997.5100000000000000000000000000,0.0955990000000000000000000000,592.0500000000000000000000000000,8.5089000000000000000000000000,97.1980000000000000000000000000,-0.1094400000000000000000000000,59.4130000000000000000000000000,-202.1500000000000000000000000000,-100.0200000000000000000000000000,-0.1312500000000000000000000000,-153.0500000000000000000000000000,-92.9200000000000000000000000000,853.7000000000000000000000000000,46.5170000000000000000000000000,415.6300000000000000000000000000,276.5200000000000000000000000000,503.3300000000000000000000000000,-0.0156450000000000000000000000,895.6600000000000000000000000000,-300.8900000000000000000000000000
x2**2,439.7500000000000000000000000000,-0.0438920000000000000000000000,504.3700000000000000000000000000,-191.6100000000000000000000000000,-63.2290000000000000000000000000,-0.0030935000000000000000000000,-7.9928000000000000000000000000,-204.6100000000000000000000000000,-21.5180000000000000000000000000,-0.0015151000000000000000000000,-66.8880000000000000000000000000,-36.9070000000000000000000000000,-333.5400000000000000000000000000,22.1780000000000000000000000000,-188.8700000000000000000000000000,-567.5400000000000000000000000000,-1517.2000000000000000000000000000,-0.0365750000000000000000000000,-1398.2000000000000000000000000000,-89.5260000000000000000000000000
x3**2,-5.7439000000000000000000000000,-0.0000635640000000000000000000,-8.0061000000000000000000000000,0.3822400000000000000000000000,-0.8288600000000000000000000000,0.0000853290000000000000000000,-0.6119500000000000000000000000,-0.1921600000000000000000000000,-3.5769000000000000000000000000,0.0000827440000000000000000000,-2.7397000000000000000000000000,-1.1319000000000000000000000000,-6.1463000000000000000000000000,-0.1847100000000000000000000000,-2.3221000000000000000000000000,-3.0864000000000000000000000000,-1.1718000000000000000000000000,-0.0000526940000000000000000000,-0.9049100000000000000000000000,-0.7214300000000000000000000000
x4**2,-0.0079781000000000000000000000,0.0000001705500000000000000000,-0.0001772400000000000000000000,0.0003325100000000000000000000,-0.0115150000000000000000000000,-0.0000001797300000000000000000,0.0030551000000000000000000000,-0.0138680000000000000000000000,-0.0103310000000000000000000000,-0.0000000202850000000000000000,-0.0004248200000000000000000000,-0.0083981000000000000000000000,-0.1014600000000000000000000000,0.0051728000000000000000000000,0.0158740000000000000000000000,-0.1007400000000000000000000000,-0.0374220000000000000000000000,-0.0000012890000000000000000000,-0.0006911900000000000000000000,-0.0356320000000000000000000000
x5**2,0.0000255510000000000000000000,-0.0000000005370500000000000000,0.0000466330000000000000000000,-0.0000101540000000000000000000,-0.0000116060000000000000000000,-0.0000000001281600000000000000,-0.0000009616600000000000000000,-0.0000086027000000000000000000,0.0000065387000000000000000000,0.0000000004467400000000000000,0.0000003242400000000000000000,0.0000078071000000000000000000,0.0000348780000000000000000000,0.0000010217000000000000000000,0.0000184050000000000000000000,0.0000173590000000000000000000,0.0000040794000000000000000000,0.0000000000243020000000000000,-0.0000005238800000000000000000,0.0000060164000000000000000000
